Alicante	0.6023883698285825	-54342.924876145	4628084.50975512
Amsterdam	0.7268132567757605	544753.516555876	6867807.87919299
Ancona	0.5981822617855017	1504716.48862667	5406364.20249973
Antalya	0.5983248165496559	3417005.71532477	4425311.43551545
Athens	0.7327228082131961	2641422.85225139	4577157.4913354
Barcelona	0.7435649969503182	239625.040691558	5070618.45915932
Bari	0.6187183212532693	1877072.51541726	5030912.56019398
Belfast	0.6500238353643837	-660144.940738978	7283924.59681344
Bilbao	0.6326716524324802	-326723.139624272	5352089.46631157
Birmingham	0.6734272656139734	-211806.604388894	6887330.33045156
Bologna	0.6805771109268431	1264677.03061256	5541364.83181012
Bordeaux	0.6740050666982947	-62348.7026321134	5600046.65424254
Bratislava	0.6727219708132042	1904599.26514215	6132129.31762812
Bremen	0.6550493054086236	980409.078604545	6997034.8269649
Bristol	0.6397596853910299	-289129.946458133	6701962.07029867
Brussels	0.6775296450907791	484428.694126616	6594196.23645287
Bucharest	0.7015285450330992	2905741.5209833	5533186.02091626
Budapest	0.7408438350115745	2119563.11292892	6023741.54023769
Bydgoszcz	0.6111230655744967	2003778.98697815	7005590.04929725
Cagliari	0.6027765351066747	1014437.96639082	4752795.97353438
Catania	0.6121226378988357	1675294.24549168	4503468.66543493
Cluj-napoca	0.6781843443826183	2626021.68938065	5904511.76261145
Cologne	0.7006323589104861	774780.761614423	6610397.73130363
Copenhagen	0.7199038383120139	1399294.05880258	7496302.42806097
Debrecen	0.6044749973210908	2407392.88113043	6029247.39639828
Dortmund	0.6363640173746088	831031.045777769	6712763.63875648
Dresden	0.6848813073119595	1529358.65979665	6634799.56265297
Dublin	0.7015896071732729	-696890.424850777	7047958.77125843
Dubrovnik	0.5965804406996246	2014290.58065515	5258657.84167768
Edinburgh	0.6767042570635242	-354928.270326055	7549133.68510955
Eindhoven	0.6039505210664337	606704.863894089	6701025.10604146
Gdansk	0.658692247236834	2076556.35273796	7236396.30700903
Geneva	0.6901567984925614	684236.537957222	5812739.90258963
Genoa	0.6821779665930816	994513.013185173	5528684.44084696
Gothenborg	0.6774943933978278	1332162.2498864	7906066.07626152
Hamburg	0.7255256463088224	1113267.71087971	7085452.05836417
Helsinki	0.7385004519116767	2776613.9284213	8437122.0442501
Karlsruhe	0.6329585742095624	935464.379662266	6276027.25452455
Katowice	0.6096846388998592	2117473.17854487	6491407.97260974
Kaunas	0.6335961344555369	2661034.73052113	7342136.51363676
Kosice	0.6030166006424468	2367145.00118463	6223648.84413449
Krakow	0.6936604637257605	2219360.70246662	6457010.95916347
Leeds	0.6288010623341473	-171854.37310166	7131882.75682151
Lille	0.6532037863087654	340084.509534904	6556302.97688323
Lisbon	0.7149698324141975	-1017080.75789395	4679895.40543877
Liverpool	0.6707510142855765	-333032.294216421	7058676.80869405
Lodz	0.6477103275795876	2165942.34162126	6758416.82288289
London	0.8307827616237295	-16036.1386558041	6708311.89846135
Lublin	0.6328088563417934	2512492.28405614	6665734.9570364
Luxemburg	0.7282786757940397	682352.310860208	6414448.32942694
Lyon	0.6913775965432666	537897.048555293	5741623.2733417
Madrid	0.7580703794097986	-412280.918010879	4926682.73548628
Malaga	0.6199546877013291	-492214.334784901	4400330.86071482
Malmoe	0.6356626598338024	1447170.81294481	7480238.60485293
Manchester	0.6817187195894088	-249925.036308442	7072187.66304676
Marseille	0.6813768937556641	605984.167347261	5356841.48418402
Milan	0.7390652078701349	1022985.44424825	5694897.82292803
Nantes	0.6430886552278882	-173005.650407393	5977834.51635759
Naples	0.7093506544188203	1586165.58705954	4988164.7339108
Newcastle	0.6204695856399042	-179575.838073503	7356792.08012155
Nice	0.662676330560633	809113.607270311	5419277.35110012
Nimes	0.6030547856893241	485360.62750769	5440317.68477735
Nuernberg	0.6614009527445156	1233119.17272535	6352227.83418185
Oslo	0.71373169654299	1195456.68317619	8380467.01832656
Palermo	0.6561148171447915	1481741.3497131	4598832.31702666
Paris	0.8317101715588673	258265.785157385	6250951.75842089
Perugia	0.625991028320563	1380695.22239769	5328277.43969893
Pisa	0.62612005641941	1157930.0256697	5421587.8839712
Plovdiv	0.6000065941112692	2755149.57137332	5182252.24191658
Poitiers	0.6008539624210449	40963.5976589452	5874520.15867765
Porto	0.6251844833316963	-960150.513680512	5036298.01075919
Poznan	0.6645405979969531	1883496.0164754	6872897.25379879
Prague	0.7434914632787466	1605366.59622071	6461437.10891692
Rabat	0.6628843792797666	-760817.846564732	4031810.86713209
Rennes	0.6251117378386865	-187018.948658617	6125397.65558454
Riga	0.6665944463333944	2683376.87514986	7749783.02722063
Rijeka	0.6076958136734952	1607590.47021609	5673176.42944414
Rome	0.7896107180689524	1389593.64497901	5145012.71329851
Sevilla	0.6680028776021347	-667398.229328392	4493416.16959262
Sofia	0.589158597141107	2596213.07933763	5266096.06610329
Split	0.6231545197799708	1830088.63264678	5390175.51530795
Stockholm	0.740175301943447	2011664.92649764	8250991.48049833
Szczecin	0.632665213498863	1619805.71378812	7062969.73078538
Tallinn	0.6582785912071336	2754641.85430776	8275492.05604192
Thessaloniki	0.6405239688769828	2553142.75571743	4959432.34652971
Timisoara	0.6018846703191765	2362839.39227465	5740988.55927634
Toulouse	0.6682142268493704	160772.829487764	5404434.44507076
Tours	0.6112751017643095	76227.7668830492	6006696.48873324
Trieste	0.6410132817722335	1533679.58260932	5724381.80632269
Turin	0.7068062387577692	855715.857503619	5633031.15853369
Valencia	0.6688714022950969	-33364.715554463	4801871.11027989
Varna	0.5977223445051995	3107668.96584225	5343591.77158475
Venice	0.7110194898827333	1373080.25567991	5690612.83617626
Vienna	0.769412325825045	1822578.83055473	6141587.72834787
Vilnius	0.6705586482688143	2818843.717732	7304041.28325712
Warsaw	0.7366192757766009	2338457.91910238	6842175.61001543
Zagreb	0.694769776448509	1777933.54856716	5747006.72838374
Zaragoza	0.6329030071628798	-98066.1039140006	5109012.43082883
Zurich	0.6851374456657505	950784.468547861	6003409.28127021
